Name	City	Price Per Night		Room Type	Restaurant		Zone	Location	Wellness Center		Pet Friendly	Stars	Parking
Adare MaNor, Adare, 105, Single, Yes, Historical, City Center, Yes, No, 2, Yes
Hotel Vier Jahreszeiten Kempinski München, Munich, 240, Suite, Yes, Urban, City Center, Yes, Yes, 3, No
Dromoland Castle, Newmarket-on-Fergus, 170, Double, Yes, Rural, Suburb, Yes, Yes, 4, Yes
Hotel Negresco, Nice, 200, Double, Yes, Beach, City Center, Yes, Yes, 4, Yes
Clarion Hotel The Hub, Oslo, 220, Apartment, Yes, Mountain, Suburb, Yes, Yes, 4, Yes
Grand Hotel, Oslo, 156, Double, No, Mountain, City Center, Yes, Yes, 2, No
The Ritz Paris, Paris, 270, Suite, No, Urban, City Center, Yes, Yes, 3, Yes
Le Meurice, Paris, 183, Single, Yes, Urban, City Center, Yes, Yes, 5, Yes
La Réserve Paris Hotel and Spa, Paris, 177, Suite, Yes, Urban, City Center, Yes, Yes, 5, Yes
Hotel Le Bristol, Paris, 149, Suite, Yes, Urban, City Center, Yes, Yes, 5, Yes
L'Hotel, Paris, 260, Double, No, Urban, City Center, Yes, Yes, 5, No
The Westin Paris - Vendôme, Paris, 144, Suite, Yes, Urban, City Center, Yes, Yes, 2, Yes
The Peninsula Paris, Paris, 280, Single, Yes, Urban, City Center, Yes, Yes, 3, No
Shangri-La Hotel, Paris, 176, Triple, No, Urban, City Center, Yes, Yes, 5, Yes
Hotel du Louvre, Paris, 154, Suite, Yes, Urban, City Center, Yes, Yes, 3, Yes
Hotel Le Meurice, Paris, 270, Double, Yes, Urban, City Center, Yes, Yes, 5, Yes
Hotel Peralada Wine Spa & Golf, Peralada, 170, Double, No, Historical, Suburb, Yes, Yes, 4, No
Grand Hotel Kronenhof, Pontresina, 220, Double, Yes, Mountain, Suburb, Yes, Yes, 3, Yes
The Yeatman, Porto, 200, Single, Yes, Beach, Suburb, Yes, Yes, 4, No
Amanzoe, Porto Cheli, 190, Double, Yes, Beach, Suburb, Yes, Yes, 4, Yes
Hotel Il PellicaNo, Porto Ercole, 180, Double, No, Beach, Suburb, Yes, Yes, 4, Yes
Hotel Splendido, Portofino, 121, Suite, No, Beach, Suburb, Yes, Yes, 2, Yes
Hotel U Prince, Praga, 155, Apartment, No, Urban, City Center, Yes, Yes, 3, No
Mandarin Oriental, Praga, 240, Suite, No, Urban, City Center, Yes, Yes, 5, Yes
Gran Hotel Son Net, Puigpunyent, 170, Double,Yes, Urban, Suburb, Yes, Yes, 4, Yes
Palazzo Avino, Ravello, 180, Triple, Yes, Historical, Suburb, Yes, Yes, 4, Yes
Belmond Hotel Caruso, Ravello, 190, Double, Yes, Historical, Suburb, Yes, Yes, 4, No
Hotel Borg by Keahotels, Reykjavik, 220, Single, Yes, Urban, City Center, Yes, Yes, 5, Yes
Hotel de Russie, Rome, 147, Suite, No, Historical, City Center, Yes, Yes, 2, Yes
Hotel Eden, Rome, 260, Apartment, No, Historical, City Center, Yes, Yes, 3, Yes
The St. Regis Rome, Rome, 270, Suite, Yes, Historical, City Center, Yes, Yes, 5, Yes
The Westin Excelsior, Rome, 280, Single, Yes, Historical, City Center, Yes, Yes, 3, No
JK Place Roma, Rome, 290, Double, Yes, Historical, City Center, Yes, Yes, 5, Yes
Badrutt's Palace Hotel, Saint Moritz, 129, Double, No, Mountain, City Center, Yes, Yes, 2, Yes
Kulm Hotel, Saint Moritz, 198, Double, No, Mountain, City Center, Yes, Yes, 5, Yes
Belmond Grand Hotel Europe, Saint Petersburg, 240, Suite, Yes, Urban, City Center, Yes, Yes, 3, Yes
Hotel Astoria, Saint Petersburg, 250, Suite, Yes, Urban, City Center, Yes, Yes, 5, Yes
Lotte Hotel St. Petersburg, Saint Petersburg, 260, Suite, Yes, Urban, City Center, Yes, Yes, 5, No
Hotel Sacher Salzburg, Salzburg, 170, Single, Yes, Mountain, Suburb, Yes, Yes, 4, Yes
Hotel Maria Cristina, San Sebastian, 142, Double, No, Beach, Suburb, Yes, Yes, 2, No
ME Ibiza, Santa Eulalia, 190, Triple, No, Beach, Suburb, Yes, Yes, 3, Yes
Canaves Oia, Santorini, 200, Single, Yes, Beach, Suburb, Yes, Yes, 4, Yes
Katikies Hotel, Santorini, 210, Double, Yes, Beach, Suburb, Yes, Yes, 4, No
Borgo Egnazia, Savelletri di Fasano, 220, Single, Yes, Beach, Suburb, Yes, Yes, 3, Yes
Hotel Alfonso XIII, Seville, 230, Double, No, Urban, City Center, Yes, Yes, 5, Yes
Althoff Hotel am Schlossgarten, Stuttgart, 125, Triple, No, Urban, Suburb, Yes, Yes, 2, No
Swissotel Tallinn, Tallinn, 136, Suite, No, Urban, Suburb, Yes, Yes, 5, Yes
The Ritz-Carlton, Tenerife, 168, Suite, Yes, Beach, Suburb, Yes, Yes, 5, Yes
Rosewood Castiglion del Bosco, Tuscany, 170, Double, Yes, Rural, City Center, Yes, Yes, 4, No
Château Saint-Martin & Spa, Vence, 180, Double, Yes, Rural, Suburb, Yes, Yes, 4, Yes
Hotel Danieli, Venice, 190, Triple, Yes, Urban, City Center, Yes, Yes, 3, No
Gritti Palace, Venice, 200, Suite, Yes, Urban, City Center, Yes, Yes, 4, No
Hotel Cipriani, Venice, 210, Double, No, Urban, City Center, Yes, Yes, 3, Yes
Belmond Hotel Cipriani, Venice, 220, Apartment, No, Urban, City Center, Yes, Yes, 4, Yes
Hotel Excelsior Venice Lido Resort, Venice, 230, Double, No, Urban, Suburb, Yes, Yes, 5, No
JW Marriott Venice Resort & Spa, Venice, 102, Suite, Yes, Urban, Suburb, Yes, Yes, 2, Yes
Hotel Sacher, Vienna, 250, Suite, Yes, Urban, City Center, Yes, Yes, 5, No
Hotel Imperial, Vienna, 128, Single,Yes, Urban, City Center, Yes, Yes, 2, Yes
Grand Hotel, Vienna, 270, Suite, Yes, Urban, City Center, Yes, Yes, 3, Yes
Park Hyatt Vienna, Vienna, 280, Double, Yes, Urban, City Center, Yes, Yes, 5, No
Palais Coburg Residenz, Vienna, 290, Apartmnet, No, Urban, Suburb, Yes, Yes, 3, Yes
Hotel Imperial, Vienna, 300, Suite, No, Urban, City Center, Yes, Yes, 2, Yes
Grand Hotel, Vienna, 170, Double, Yes, Urban, City Center, Yes, Yes, 4, No
The Yeatman, Vila Nova de Gaia, 180, Single, Yes, Urban, Suburb, Yes, Yes, 4, Yes
Sofitel Warsaw Victoria, Warsaw, 190, Apartment, Yes, Urban, City Center, Yes, Yes, 3, No
The Ritz-Carlton, Wolfsburg, 200, Triple, No, Urban, Suburb, Yes, Yes, 4, Yes
Grand Hotel Zermatterhof, Zermatt, 210, Double, No, Mountain, Suburb, Yes, Yes, 4, Yes
The Dolder Grand, Zürich, 220, Suite, Yes, Lake, Suburb, Yes, Yes, 3, Yes
Baur au Lac, Zürich, 167, Single, Yes, Lake, City Center, Yes, Yes, 2, No
Dolder Grand, Zürich, 240, Triple, No, Lake, Suburb, Yes, Yes, 4, Yes


